Year,Activity,Source,Destination,Energy (MW.h),Total Value (CAN$),Price (CAN$/MW.h)
1990,Exports,British Columbia,Alaska,908.956,52432,57.68
1990,Exports,British Columbia,California,3192020.2,80007662.08,25.06
1990,Exports,British Columbia,Idaho,106388,2084993.1,19.6
1990,Exports,British Columbia,Montana,47054,877249.47,18.64
1990,Exports,British Columbia,Nevada,2047,37434.09,18.29
1990,Exports,British Columbia,Oregon,852459,19236818.54,22.57
1990,Exports,British Columbia,Total,4480927.418,108310126.8,24.17
1990,Exports,British Columbia,Washington,280050.262,6013537.52,21.47
1990,Exports,Manitoba,Minnesota,1741899.912,29886656.37,15.26
1990,Exports,Manitoba,North Dakota,190583,4005391.12,21.02
1990,Exports,Manitoba,Total,1932482.912,33892047.49,15.83
1990,Exports,New Brunswick,Maine,2300586.564,92178379.13,39.61
1990,Exports,New Brunswick,Massachusetts,1884793,139189376,73.85
1990,Exports,New Brunswick,Total,4185379.564,231367755.1,55.03
1990,Exports,Ontario,Michigan,39598.76,995864.28,25.15
1990,Exports,Ontario,Minnesota,88,4303,48.9
1990,Exports,Ontario,New York,610055.771,19050830.61,30.95
1990,Exports,Ontario,Total,738114.531,25057053.91,31.34
1990,Exports,Ontario,Vermont,88372,5006056.02,36.79
1990,Exports,Quebec,Maine,1277.35,80014.56,62.64
1990,Exports,Quebec,New England-ISO,220115,5329044.39,24.21
1990,Exports,Quebec,New Hampshire,19.34,1422.15,73.53
1990,Exports,Quebec,New York,3192437,107228246.3,30.52
1990,Exports,Quebec,Total,5097616.69,180013871.3,31.73
1990,Exports,Quebec,Vermont,1683768,67375143.96,34.99
1990,Exports,Saskatchewan,North Dakota,59586,744807.23,12.5
1990,Exports,Saskatchewan,Total,59586,744807.23,12.5
1990,Exports,Total,Alaska,908.956,52432,57.68
1990,Exports,Total,California,3192020.2,80007662.08,25.06
1990,Exports,Total,Idaho,106388,2084993.1,19.6
1990,Exports,Total,Maine,2301863.914,92258393.69,39.62
1990,Exports,Total,Massachusetts,1884793,139189376,73.85
