"Year","Activity","Source","Destination","Energy (MW.h)","Total Value (CAN$)","Price (CAN$/MW.h)"
"1990","Exports","British Columbia","Alaska","908.9560","52432.0000","57.68"
"1990","Exports","British Columbia","California","3192020.2000","80007662.0800","25.06"
"1990","Exports","British Columbia","Idaho","106388.0000","2084993.1000","19.60"
"1990","Exports","British Columbia","Montana","47054.0000","877249.4700","18.64"
"1990","Exports","British Columbia","Nevada","2047.0000","37434.0900","18.29"
"1990","Exports","British Columbia","Oregon","852459.0000","19236818.5400","22.57"
"1990","Exports","British Columbia","Total","4480927.4180","108310126.8000","24.17"
"1990","Exports","British Columbia","Washington","280050.2620","6013537.5200","21.47"
"1990","Exports","Manitoba","Minnesota","1741899.9120","29886656.3700","15.26"
"1990","Exports","Manitoba","North Dakota","190583.0000","4005391.1200","21.02"
"1990","Exports","Manitoba","Total","1932482.9120","33892047.4900","15.83"
"1990","Exports","New Brunswick","Maine","2300586.5640","92178379.1300","39.61"
"1990","Exports","New Brunswick","Massachusetts","1884793.0000","139189376.0000","73.85"
"1990","Exports","New Brunswick","Total","4185379.5640","231367755.1300","55.03"
"1990","Exports","Ontario","Michigan","39598.7600","995864.2800","25.15"
"1990","Exports","Ontario","Minnesota","88.0000","4303.0000","48.90"
"1990","Exports","Ontario","New York","610055.7710","19050830.6100","30.95"
"1990","Exports","Ontario","Total","738114.5310","25057053.9100","31.34"
"1990","Exports","Ontario","Vermont","88372.0000","5006056.0200","36.79"
"1990","Exports","Québec","Maine","1277.3500","80014.5600","62.64"
"1990","Exports","Québec","New England-ISO","220115.0000","5329044.3900","24.21"
"1990","Exports","Québec","New Hampshire","19.3400","1422.1500","73.53"
"1990","Exports","Québec","New York","3192437.0000","107228246.2700","30.52"
"1990","Exports","Québec","Total","5097616.6900","180013871.3300","31.73"
"1990","Exports","Québec","Vermont","1683768.0000","67375143.9600","34.99"
"1990","Exports","Saskatchewan","North Dakota","59586.0000","744807.2300","12.50"
"1990","Exports","Saskatchewan","Total","59586.0000","744807.2300","12.50"
